Person ID,Gender,Age,Sleep Duration,height,weights,sleeping_calburn,Country,breakfast,breakfast_cal,remain_cal
1,Male,27,6.1,154,76,404,India,Masala dosa with sambar,400.0,-4.0
2,Male,28,6.2,161,72,411,France,Croissant with coffee,300.0,-111.0
3,Male,28,6.2,152,64,375,United Kingdom,Full English breakfast,700.0,325.0
4,Male,28,5.9,158,64,366,United Kingdom,Full English breakfast,700.0,334.0
5,Male,28,5.9,165,61,370,France,Croissant with coffee,300.0,-70.0
6,Male,28,5.9,158,60,357,United States,,,
7,Male,29,6.3,163,63,396,United States,,,
8,Male,29,7.8,172,71,534,Germany,Bread with sausage and cheese,550.0,16.0
9,Male,29,7.8,158,75,519,France,Croissant with coffee,300.0,-219.0
10,Male,29,7.8,157,56,455,Canada,Maple syrup on pancakes,520.0,65.0
11,Male,29,6.1,153,60,359,France,Croissant with coffee,300.0,-59.0
12,Male,29,7.8,170,62,501,Canada,Maple syrup on pancakes,520.0,19.0
13,Male,29,6.1,174,67,411,Germany,Bread with sausage and cheese,550.0,139.0
14,Male,29,6.0,169,75,416,India,Masala dosa with sambar,400.0,-16.0
15,Male,29,6.0,169,65,391,India,Masala dosa with sambar,400.0,9.0
16,Male,29,6.0,171,57,374,United States,,,
17,Female,29,6.5,174,56,363,Japan,Miso soup with rice,200.0,-163.0
18,Male,29,6.0,170,72,410,United Kingdom,Full English breakfast,700.0,290.0
19,Female,29,6.5,166,76,403,Italy,Cappuccino with cornetto,250.0,-153.0
20,Male,30,7.6,151,63,452,Germany,Bread with sausage and cheese,550.0,98.0
21,Male,30,7.7,168,71,518,Canada,Maple syrup on pancakes,520.0,2.0
22,Male,30,7.7,164,76,526,United States,,,
23,Male,30,7.7,173,72,531,United Kingdom,Full English breakfast,700.0,169.0
24,Male,30,7.7,167,70,512,China,Congee with pickled vegetables,220.0,-292.0
25,Male,30,7.8,171,56,482,India,Masala dosa with sambar,400.0,-82.0
26,Male,30,7.9,160,71,515,France,Croissant with coffee,300.0,-215.0
27,Male,30,7.8,150,75,501,Japan,Miso soup with rice,200.0,-301.0
28,Male,30,7.9,165,69,518,Italy,Cappuccino with cornetto,250.0,-268.0
29,Male,30,7.9,156,79,533,Italy,Cappuccino with cornetto,250.0,-283.0
30,Male,30,7.9,170,63,509,Brazil,Pão de queijo with coffee,300.0,-209.0
31,Female,30,6.4,168,76,399,China,Congee with pickled vegetables,220.0,-179.0
32,Female,30,6.4,151,72,360,United States,,,
33,Female,31,7.9,156,75,463,France,Croissant with coffee,300.0,-163.0
34,Male,31,6.1,150,64,362,India,Masala dosa with sambar,400.0,38.0
35,Male,31,7.7,175,60,495,United States,,,
36,Male,31,6.1,155,77,403,United Kingdom,Full English breakfast,700.0,297.0
37,Male,31,6.1,166,65,390,Japan,Miso soup with rice,200.0,-190.0
38,Male,31,7.6,175,58,482,United Kingdom,Full English breakfast,700.0,218.0
39,Male,31,7.6,171,76,531,Canada,Maple syrup on pancakes,520.0,-11.0
40,Male,31,7.6,153,70,476,France,Croissant with coffee,300.0,-176.0
41,Male,31,7.7,166,59,474,United States,,,
42,Male,31,7.7,167,74,524,France,Croissant with coffee,300.0,-224.0
43,Male,31,7.7,158,69,490,Brazil,Pão de queijo with coffee,300.0,-190.0
44,Male,31,7.8,163,61,480,India,Masala dosa with sambar,400.0,-80.0
45,Male,31,7.7,159,71,498,France,Croissant with coffee,300.0,-198.0
46,Male,31,7.8,172,64,508,Germany,Bread with sausage and cheese,550.0,42.0
47,Male,31,7.7,174,78,551,Brazil,Pão de queijo with coffee,300.0,-251.0
48,Male,31,7.8,175,58,495,Japan,Miso soup with rice,200.0,-295.0
49,Male,31,7.7,154,59,449,Japan,Miso soup with rice,200.0,-249.0
50,Male,31,7.7,152,75,497,Brazil,Pão de queijo with coffee,300.0,-197.0
51,Male,32,7.5,159,79,508,Germany,Bread with sausage and cheese,550.0,42.0
52,Male,32,7.5,153,62,444,United States,,,
